freqset,support
{1},0.5198531865198532
{4},0.39673006339673006
{6},0.5275275275275275
{12},0.36536536536536535
{14},0.7167167167167167
{15},0.3053053053053053
{16},0.5131798465131798
{18},0.7050383717050384
{19},0.5395395395395396
{21},0.30663997330663995
{26},0.4124124124124124
{28},0.34234234234234234
{30},0.5632298965632299
{32},0.4127460794127461
{34},0.6406406406406406
{39},0.31598264931598263
{42},0.3173173173173173
{44},0.3730397063730397
{46},0.37237237237237236
{48},0.4788121454788121
{49},0.38872205538872207
{1 14},0.3820487153820487
{1 18},0.3870537203870537
{1 30},0.30997664330997665
{1 34},0.3520186853520187
{6 14},0.38772105438772103
{6 18},0.38171504838171505
{6 30},0.30663997330663995
{6 34},0.35235235235235235
{14 16},0.37971304637971304
{14 18},0.5271938605271939
{14 19},0.3993993993993994
{14 26},0.3053053053053053
{14 30},0.42108775442108776
{14 34},0.47480814147480815
{14 48},0.3560226893560227
{16 18},0.36870203536870205
{16 34},0.33233233233233234
{18 19},0.39973306639973305
{18 30},0.39673006339673006
{18 32},0.30363697030363695
{18 34},0.46646646646646645
{18 48},0.347681014347681
{19 30},0.3163163163163163
{19 34},0.359693026359693
{30 34},0.3680347013680347
{34 48},0.3163163163163163
{14 18 19},0.30563897230563897
{14 18 30},0.309642976309643
{14 18 34},0.36036036036036034
