freqset,support
{0},0.28428428428428426
{1},0.5198531865198532
{2},0.27260593927260596
{3},0.23823823823823823
{4},0.39673006339673006
{5},0.22689356022689355
{6},0.5275275275275275
{11},0.2819486152819486
{12},0.36536536536536535
{14},0.7167167167167167
{15},0.3053053053053053
{16},0.5131798465131798
{18},0.7050383717050384
{19},0.5395395395395396
{20},0.27060393727060394
{21},0.30663997330663995
{24},0.2125458792125459
{26},0.4124124124124124
{28},0.34234234234234234
{29},0.2802802802802803
{30},0.5632298965632299
{32},0.4127460794127461
{34},0.6406406406406406
{35},0.2215548882215549
{37},0.23289956623289956
{38},0.2689356022689356
{39},0.31598264931598263
{41},0.20687354020687354
{42},0.3173173173173173
{43},0.20787454120787455
{44},0.3730397063730397
{46},0.37237237237237236
{47},0.2062062062062062
{48},0.4788121454788121
{49},0.38872205538872207
{0 14},0.2125458792125459
{0 18},0.20553887220553888
{1 4},0.21354688021354687
{1 6},0.28428428428428426
{1 12},0.2012012012012012
{1 14},0.3820487153820487
{1 16},0.27761094427761096
{1 18},0.3870537203870537
{1 19},0.2882882882882883
{1 26},0.2175508842175509
{1 30},0.30997664330997665
{1 32},0.2255588922255589
{1 34},0.3520186853520187
{1 46},0.20153486820153488
{1 48},0.2545879212545879
{1 49},0.20487153820487153
{2 14},0.20186853520186854
{2 18},0.20253586920253586
{4 6},0.22389055722389056
{4 14},0.2889556222889556
{4 16},0.2042042042042042
{4 18},0.2902902902902903
{4 19},0.22822822822822822
{4 30},0.2415749082415749
{4 34},0.26926926926926925
{6 12},0.2022022022022022
{6 14},0.38772105438772103
{6 16},0.2782782782782783
{6 18},0.38171504838171505
{6 19},0.2982982982982983
{6 26},0.2215548882215549
{6 30},0.30663997330663995
{6 32},0.23423423423423423
{6 34},0.35235235235235235
{6 44},0.20553887220553888
{6 46},0.21087754421087754
{6 48},0.2559225892559226
{6 49},0.21454788121454788
{11 18},0.20487153820487153
{12 14},0.2789456122789456
{12 16},0.20086753420086753
{12 18},0.27260593927260596
{12 19},0.20387053720387055
{12 30},0.21488154821488153
{12 34},0.2375709042375709
{14 15},0.22088755422088754
{14 16},0.37971304637971304
{14 18},0.5271938605271939
{14 19},0.3993993993993994
{14 20},0.20520520520520522
{14 21},0.2325658992325659
{14 26},0.3053053053053053
{14 28},0.2565899232565899
{14 29},0.2012012012012012
{14 30},0.42108775442108776
{14 32},0.2992992992992993
{14 34},0.47480814147480815
{14 38},0.2042042042042042
{14 39},0.23423423423423423
{14 42},0.23390056723390057
{14 44},0.2829496162829496
{14 46},0.2789456122789456
{14 48},0.3560226893560227
{14 49},0.2889556222889556
{15 18},0.2225558892225559
{15 34},0.20153486820153488
{16 18},0.36870203536870205
{16 19},0.2862862862862863
{16 26},0.22188855522188855
{16 30},0.28995662328995664
{16 32},0.22389055722389056
{16 34},0.33233233233233234
{16 48},0.24791458124791457
{16 49},0.2122122122122122
{18 19},0.39973306639973305
{18 20},0.20153486820153488
{18 21},0.2225558892225559
{18 26},0.2992992992992993
{18 28},0.24424424424424424
{18 29},0.21154487821154488
{18 30},0.39673006339673006
{18 32},0.30363697030363695
{18 34},0.46646646646646645
{18 39},0.2285618952285619
{18 42},0.22422422422422422
{18 44},0.2709376042709376
{18 46},0.2802802802802803
{18 48},0.347681014347681
{18 49},0.2829496162829496
{19 26},0.2325658992325659
{19 30},0.3163163163163163
{19 32},0.22589255922589255
{19 34},0.359693026359693
{19 44},0.2125458792125459
{19 46},0.20587253920587253
{19 48},0.26760093426760095
{19 49},0.21921921921921922
{26 30},0.24457791124457792
{26 34},0.2696029362696029
{26 48},0.20487153820487153
{28 34},0.22989656322989657
{30 32},0.24457791124457792
{30 34},0.3680347013680347
{30 44},0.2165498832165499
{30 46},0.22589255922589255
{30 48},0.2822822822822823
{30 49},0.22922922922922923
